method,theoretical_order,k,h_coarse,h_fine,approximation,true_error,p_true,p_observed,estimated_error,richardson,richardson_true_error,status
forward_naive,1,23,1.1920928955078125e-07,2.9802322387695312e-08,1.0000000149011612,1.4901161193847656e-08,1.0,1.0,1.4901161193847656e-08,1.0,0.0,ok
forward_stable,1,23,1.1920928955078125e-07,2.9802322387695312e-08,1.0000000149011614,1.490116141589226e-08,1.0000000107489155,1.0000000429956608,1.49011607497585e-08,1.0000000000000007,6.661338147750939e-16,ok
central_naive,2,23,1.1920928955078125e-07,2.9802322387695312e-08,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,23,1.1920928955078125e-07,2.9802322387695312e-08,1.0000000000000002,2.220446049250313e-16,1.584962500721156,2.0,1.4802973661668753e-16,1.0,0.0,ok
forward_naive,1,24,5.960464477539063e-08,1.4901161193847656e-08,1.0,0.0,,0.0,,,,roundoff-dominated
forward_stable,1,24,5.960464477539063e-08,1.4901161193847656e-08,1.0000000074505806,7.450580596923828e-09,1.0000000214978313,1.0,7.450580818968433e-09,0.9999999999999998,2.220446049250313e-16,ok
central_naive,2,24,5.960464477539063e-08,1.4901161193847656e-08,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,24,5.960464477539063e-08,1.4901161193847656e-08,1.0,0.0,,1.0,2.220446049250313e-16,0.9999999999999998,2.220446049250313e-16,ok
forward_naive,1,25,2.9802322387695312e-08,7.450580596923828e-09,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,25,2.9802322387695312e-08,7.450580596923828e-09,1.0000000037252903,3.725290298461914e-09,1.0,1.0000000429956621,3.7252900764173224e-09,1.0,0.0,ok
central_naive,2,25,2.9802322387695312e-08,7.450580596923828e-09,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,25,2.9802322387695312e-08,7.450580596923828e-09,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,26,1.4901161193847656e-08,3.725290298461914e-09,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,26,1.4901161193847656e-08,3.725290298461914e-09,1.0000000018626451,1.862645149230957e-09,1.0,1.0,1.862645149230957e-09,1.0,0.0,ok
central_naive,2,26,1.4901161193847656e-08,3.725290298461914e-09,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,26,1.4901161193847656e-08,3.725290298461914e-09,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,27,7.450580596923828e-09,1.862645149230957e-09,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,27,7.450580596923828e-09,1.862645149230957e-09,1.0000000009313224,9.313223525708736e-10,1.0000003439653427,0.9999996560347393,9.31323240749505e-10,0.9999999999999991,8.881784197001252e-16,ok
central_naive,2,27,7.450580596923828e-09,1.862645149230957e-09,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,27,7.450580596923828e-09,1.862645149230957e-09,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,28,3.725290298461914e-09,9.313225746154785e-10,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,28,3.725290298461914e-09,9.313225746154785e-10,1.0000000004656613,4.656612873077393e-10,0.9999996560346572,1.0000010318960282,4.6566039913027247e-10,1.000000000000001,1.1102230246251565e-15,ok
central_naive,2,28,3.725290298461914e-09,9.313225746154785e-10,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,28,3.725290298461914e-09,9.313225746154785e-10,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,29,1.862645149230957e-09,4.656612873077393e-10,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,29,1.862645149230957e-09,4.656612873077393e-10,1.0000000002328306,2.3283064365386963e-10,1.0,0.9999993120692325,2.328308656986863e-10,0.9999999999999998,2.220446049250313e-16,ok
central_naive,2,29,1.862645149230957e-09,4.656612873077393e-10,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,29,1.862645149230957e-09,4.656612873077393e-10,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,30,9.313225746154785e-10,2.3283064365386963e-10,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,30,9.313225746154785e-10,2.3283064365386963e-10,1.0000000001164153,1.1641532182693481e-10,1.0,1.0,1.1641532182693481e-10,1.0,0.0,ok
central_naive,2,30,9.313225746154785e-10,2.3283064365386963e-10,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,30,9.313225746154785e-10,2.3283064365386963e-10,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,31,4.656612873077393e-10,1.1641532182693481e-10,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,31,4.656612873077393e-10,1.1641532182693481e-10,1.0000000000582077,5.820766091346741e-11,1.0,1.0,5.820766091346741e-11,1.0,0.0,ok
central_naive,2,31,4.656612873077393e-10,1.1641532182693481e-10,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,31,4.656612873077393e-10,1.1641532182693481e-10,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,32,2.3283064365386963e-10,5.820766091346741e-11,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,32,2.3283064365386963e-10,5.820766091346741e-11,1.0000000000291038,2.9103830456733704e-11,1.0,1.0,2.9103830456733704e-11,1.0,0.0,ok
central_naive,2,32,2.3283064365386963e-10,5.820766091346741e-11,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,32,2.3283064365386963e-10,5.820766091346741e-11,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,33,1.1641532182693481e-10,2.9103830456733704e-11,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,33,1.1641532182693481e-10,2.9103830456733704e-11,1.000000000014552,1.4551915228366852e-11,1.0,1.0,1.4551915228366852e-11,1.0,0.0,ok
central_naive,2,33,1.1641532182693481e-10,2.9103830456733704e-11,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,33,1.1641532182693481e-10,2.9103830456733704e-11,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,34,5.820766091346741e-11,1.4551915228366852e-11,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,34,5.820766091346741e-11,1.4551915228366852e-11,1.000000000007276,7.275957614183426e-12,1.0,1.0,7.275957614183426e-12,1.0,0.0,ok
central_naive,2,34,5.820766091346741e-11,1.4551915228366852e-11,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,34,5.820766091346741e-11,1.4551915228366852e-11,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,35,2.9103830456733704e-11,7.275957614183426e-12,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,35,2.9103830456733704e-11,7.275957614183426e-12,1.000000000003638,3.637978807091713e-12,1.0,1.0,3.637978807091713e-12,1.0,0.0,ok
central_naive,2,35,2.9103830456733704e-11,7.275957614183426e-12,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,35,2.9103830456733704e-11,7.275957614183426e-12,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,36,1.4551915228366852e-11,3.637978807091713e-12,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,36,1.4551915228366852e-11,3.637978807091713e-12,1.000000000001819,1.8189894035458565e-12,1.0,1.0,1.8189894035458565e-12,1.0,0.0,ok
central_naive,2,36,1.4551915228366852e-11,3.637978807091713e-12,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,36,1.4551915228366852e-11,3.637978807091713e-12,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,37,7.275957614183426e-12,1.8189894035458565e-12,1.0,0.0,,,,,,roundoff-dominated
forward_stable,1,37,7.275957614183426e-12,1.8189894035458565e-12,1.0000000000009095,9.094947017729282e-13,1.0,1.0,9.094947017729282e-13,1.0,0.0,ok
central_naive,2,37,7.275957614183426e-12,1.8189894035458565e-12,1.0,0.0,,,,,,roundoff-dominated
central_stable,2,37,7.275957614183426e-12,1.8189894035458565e-12,1.0,0.0,,,,,,roundoff-dominated
forward_naive,1,38,3.637978807091713e-12,9.094947017729282e-13,1.0,0.0,,,,,,roundoff-dominated
